ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std
POOL-00034346,"InChI=1S/C14H9F4NO/c15-11-6-4-9(5-7-11)13(20)19-12-3-1-2-10(8-12)14(16,17)18/h1-8H,(H,19,20)",O=C(Nc1cccc(C(F)(F)F)c1)c1ccc(F)cc1,619.8161844366884,False,['2054-00-4'],0.1599915572
POOL-00022789,"InChI=1S/C15H12F3NO2/c16-15(17,18)13(11-7-3-1-4-8-11)21-14(20)19-12-9-5-2-6-10-12/h1-10,13H,(H,19,20)",OC(=Nc1ccccc1)OC(c1ccccc1)C(F)(F)F,597.320724306083,False,['2648-11-5'],0.1435060715
POOL-00033470,"InChI=1S/C14H10F3NO/c15-14(16,17)11-6-2-3-7-12(11)18-9-10-5-1-4-8-13(10)19/h1-9,19H",Oc1ccccc1C=Nc1ccccc1C(F)(F)F,605.6352264399749,False,['35717-67-0'],0.1565515917
POOL-00022965,"InChI=1S/C15H12F3NO/c16-15(17,18)13(11-7-3-1-4-8-11)19-14(20)12-9-5-2-6-10-12/h1-10,13H,(H,19,20)",OC(=NC(c1ccccc1)C(F)(F)F)c1ccccc1,579.0725505612995,False,['13652-10-3'],0.1519597384
POOL-00035385,"InChI=1S/C16H12F5NO/c1-10(23)22-15(16(19,20)21,11-2-6-13(17)7-3-11)12-4-8-14(18)9-5-12/h2-9H,1H3,(H,22,23)",CC(O)=NC(c1ccc(F)cc1)(c1ccc(F)cc1)C(F)(F)F,655.2456084297711,False,['2247-78-1'],0.1572836335
POOL-00023022,"InChI=1S/C15H11F3O2/c16-15(17,18)13-5-1-4-12(7-13)10-20-14-6-2-3-11(8-14)9-19/h1-9H,10H2",O=Cc1cccc(OCc2cccc(C(F)(F)F)c2)c1,606.0627755569727,False,['343604-08-0'],0.1566929264
POOL-00027688,"InChI=1S/C14H9F4NO/c15-12-4-2-1-3-11(12)13(20)19-10-7-5-9(6-8-10)14(16,17)18/h1-8H,(H,19,20)",O=C(Nc1ccc(C(F)(F)F)cc1)c1ccccc1F,619.8161844366886,False,['2053-96-5'],0.159240113
POOL-00026470,"InChI=1S/C14H9F4NO/c15-11-5-1-9(2-6-11)13(20)19-12-7-3-10(4-8-12)14(16,17)18/h1-8H,(H,19,20)",OC(=Nc1ccc(C(F)(F)F)cc1)c1ccc(F)cc1,615.1173175423754,False,['2054-01-5'],0.1596214559
POOL-00028012,"InChI=1S/C15H12F3NO/c1-10-5-7-11(8-6-10)14(20)19-13-4-2-3-12(9-13)15(16,17)18/h2-9H,1H3,(H,19,20)",Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1,617.7609069092039,False,['144918-48-9'],0.1490702043
POOL-00021828,"InChI=1S/C14H8F5N/c15-10-9(11(16)13(18)14(19)12(10)17)7-20-6-8-4-2-1-3-5-8/h1-5,7H,6H2",Fc1c(F)c(F)c(C=NCc2ccccc2)c(F)c1F,623.3541058984305,False,['142827-73-4'],0.1461788907
